AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat,Sex
1089,20334R,Gaelscoil Ros Eo,Gaelscoil Ros Eo,St Maurs GAA,Rush,Co. Dublin,Dublin,MULTI DENOMINATIONAL,N,N,N,69,64,133,325627.0,255232.0,-6.10515,53.532,Mixed
1090,20348F,Holywell Educate Together National School,Holywell Road,Nevinstown,Swords,Co Dublin,Dublin,MULTI DENOMINATIONAL,N,N,N,174,152,326,319040.0,245293.0,-6.20821,53.4443,Mixed
1091,20383H,Hansfield Educate Together National School,Littlepace,Clonee,Dublin 15,,Dublin,MULTI DENOMINATIONAL,N,N,N,83,58,141,304651.63,240544.02,-6.42627,53.4047,Mixed
1092,20384J,Powerstown Educate Together National School,Powerstown Road,Tyrrelstown,Dublin 15,,Dublin,MULTI DENOMINATIONAL,N,N,N,50,45,95,307155.86,241669.76,-6.388240000000001,53.4143,Mixed
1093,20394M,Gaelscoil an Chuilinn,Bóthar Bhaile an Phaoraigh,Baile an Tirialaigh,Baile Átha Cliath 15,,Dublin,INTER DENOMINATIONAL,N,N,N,24,28,52,307121.45,241682.78,-6.38875,53.4144,Mixed
1094,00714P,LUCAN B N S,LUCAN,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,489,0,489,303669.0,235478.0,-6.4427,53.3593,Male
1095,00729F,CLOCHAR LORETO N S,GRANGE ROAD,RATHFARNHAM,DUBLIN 14,,Dublin,CATHOLIC,N,N,N,0,527,527,314824.0,228129.0,-6.27787,53.291000000000004,Female
1096,03359N,BALLYROAN    B N S,BALLYROAN,RATHFARNHAM,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,359,0,359,313796.0,227566.0,-6.293480000000001,53.2862,Male
1097,11638N,WHITECHURCH NAT SCHOOL,WHITECHURCH,RATHFARNHAM,DUBLIN 16,,Dublin,CHURCH OF IRELAND,N,N,N,64,92,156,314646.0,225971.0,-6.28132,53.2717,Mixed
1098,12014D,ST ANDREWS N S,LUCAN,CO DUBLIN,,,Dublin,CHURCH OF IRELAND,N,N,N,141,138,279,303938.0,235560.0,-6.43863,53.36,Mixed
1099,13217W,HOLY FAMILY NATIONAL SCHOOL,RATHCOOLE,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,317,284,601,301724.0,226601.0,-6.47475,53.28,Mixed
1100,13447Q,SCOIL MHUIRE,LUCAN,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,0,685,685,303915.0,235411.0,-6.439030000000001,53.3587,Female
1101,14939T,RATHFARNHAM PARISH N S,WASHINGTON LANE,TEMPLEOGUE,DUBLIN 14,,Dublin,CHURCH OF IRELAND,N,N,N,122,111,233,313178.0,228326.0,-6.30247,53.2932,Mixed
